ABSTRACT ID ,Title,Category,Authors,Affiliations,Keywords,ImageUrl,Background,Materials & Methods,Results,Conclusion
AA-001,"MEDICAL PHYSICSâ€“LED STRATIFIED DOSE OPTIMIZATION
 BENCHMARKS FOR DIGITAL BREAST TOMOSYNTHESIS: SUPPORTING
 MULTIDISCIPLINARY BREAST CARE",Scientific Research,"Nur Erina Ismail1, Nur Ashmira Aznan2, Zahurin Ismail1","1 Hospital Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia
 2 Medical Radiation Surveillance Division, Ministry of Health, Malaysia","Digital breast tomosynthesis; Medical physics; Dose optimization; Mean
 glandular dose; Quality improvement",,"High-quality breast imaging is essential for accurate diagnosis and multidisciplinary
 management of breast diseases. Clinical medical physicists play a key role in optimizing
 radiation dose while preserving diagnostic image quality. This study aimed to establish
 stratified dose optimization benchmarks based on acquisition projection and compressed
 breast thickness (CBT) for digital breast tomosynthesis (DBT) to support patient safety
 and continuous quality improvement.","Methods
 A retrospective analysis of 200 DBT examinations acquired on a single mammography
 unit was performed. Examinations were stratified by projection (right and left
 craniocaudal [RCC/LCC] and mediolateral oblique [RMLO/LMLO]) and CBT. Mean
 glandular dose (MGD), tube voltage (kVp), tube currentâ€“time product (mAs), anode/filter
 combination, and CBT were recorded. Unlike national Diagnostic Reference Levels
 (DRLs), which are conventionally based on the 75th percentile, this study adopted the
 50th percentile MGD to establish facility-specific dose optimization benchmarks for
 continuous quality improvement while maintaining diagnostic image quality. Imaging
 system performance was verified using the IAEA-ATIA quality control software.
"," Results
 MGD increased with increasing CBT across all projections. MLO projections
 consistently demonstrated higher MGDs than CC projections, particularly in thicker
 breasts (LMLO â‰¥80 mm: 3.70 mGy versus LCC â‰¥70 mm: 2.97 mGy). Stratification by
 projection and CBT identified clinically relevant dose variations that would have been
 overlooked using a single institutional reference value. Quality control analysis
 confirmed stable and consistent imaging system performance throughout the study
 period.","Projection- and CBT-specific dose optimization benchmarks provide a more
 individualized framework for radiation dose optimization in DBT than a single
 institutional reference level. Medical physics-led implementation of these stratified
 benchmarks supports continuous quality improvement, balances radiation dose with
 diagnostic image quality, and facilitates accurate diagnosis and multidisciplinary clinical
 decision-making in breast disease management."
AA-002,"BILATERAL SYNCHRONOUS DUCTAL
 CARCINOMA IN SITU DETECTED ON BREAST
 MRI FOLLOWING IMAGINGâ€“PATHOLOGY
 DISCORDANCE",Case Report/Series,"Raja Ellysya1, Ani Anisa2","1Department of Radiology, Hospital Canselor Tuanku Muhriz UKM , Kuala Lumpur,
 Malaysia","Ductal carcinoma in situ; Breast MRI; Non-mass enhancement; Imaging-
 pathology discordance; Bilateral synchronous disease",https://drive.google.com/file/d/1wcdnBMBr1XF1CcFvQRmcxc1ZnzrlQaZW/view?usp=drive_link,"Ductal carcinoma in situ (DCIS) commonly presents as suspicious microcalcifications on
 mammography. However, some lesions present as non-mass enhancement (NME) on breast
 magnetic resonance imaging (MRI), which may be occult or underestimated on conventional
 imaging. MRI is valuable in evaluating disease extent and identifying additional lesions,
 particularly when imaging findings do not correlate with pathology. We report a case in
 which MRI detected occult bilateral synchronous DCIS, resulting in a significant change in
 surgical management.","Case Presentation
 A 43-year-old woman presented with spontaneous left nipple discharge and a palpable left
 breast lump. Initial mammography and ultrasound demonstrated a BI-RADS 3 lesion, and
 ultrasound-guided biopsy confirmed intermediate-grade DCIS. She underwent wide local
 excision with sentinel lymph node biopsy followed by re-excision because of involved and
 close surgical margins. Histopathology subsequently demonstrated persistent intermediate- to
 high-grade DCIS associated with an intraductal papilloma.
 Despite repeated surgery, the extent of disease remained discordant with conventional
 imaging findings. Breast MRI demonstrated bilateral suspicious outer quadrant non-mass
 enhancement. Targeted ultrasound-guided biopsies confirmed bilateral ER-positive DCIS,
 with intraductal papilloma containing intermediate-grade DCIS in the right breast and
 intermediate- to high-grade DCIS with adenosis in the left breast. Based on these findings,
 the planned repeat breast-conserving surgery was changed to bilateral skin-sparing
 mastectomy with immediate implant reconstruction.
"," Discussion
 This case highlights the importance of breast MRI as a problem-solving modality in patients
 with imaging-pathology discordance. MRI identified occult synchronous contralateral disease
 that was not confidently demonstrated on conventional imaging, allowing more accurate
 assessment of disease extent and appropriate surgical planning. Recognition of suspicious
 NME is essential, particularly in patients with persistent or recurrent DCIS.","Breast MRI plays a pivotal role in evaluating imaging-pathology discordance, detecting
 occult bilateral synchronous DCIS, and guiding multidisciplinary treatment planning.
 Recognition of suspicious non-mass enhancement can significantly influence surgical
 management and improve patient care."
AA-003,"PRIMARY NEUROENDOCRINE CARCINOMA OF THE BREAST: A MULTIDISCIPLINARY
 DIAGNOSTIC AND THERAPEUTIC CHALLENGE",Case Report/Series,"Dr. Ng Hui Rou, Co-AuthorÂ¹: Dr. Farhana Binti Fadzli","Department of Biomedical Imaging, University Malaya Medical Centre, Kuala Lumpur, Malaysia","Neuroendocrine carcinoma; Breast cancer; Breast imaging; Nuclear medicine; Multidisciplinary
 management",https://drive.google.com/file/d/1lpGdHTB61SbqXk4JEepopz1TOjPznZQQ/view?usp=drive_link,"Primary neuroendocrine carcinoma of the breast is a rare malignancy with non-specific imaging features and no
 established treatment pathway. Accurate diagnosis and management require close collaboration between breast
 radiology, nuclear medicine, pathology, surgery and oncology.","Case Presentation
 A 54-year-old woman presented with a progressively enlarging right breast lump and 10 kg weight loss over
 three months. Mammography demonstrated an ill-defined hyperdense mass without suspicious calcifications.
 Ultrasound showed an irregular vascular hypoechoic 25 mm mass at the 12 o&#39;clock position (BI-RADS 5). Core
 biopsy demonstrated invasive carcinoma with neuroendocrine differentiation, showing diffuse synaptophysin
 positivity, estrogen receptor positivity, HER2 negativity and a Ki-67 index of approximately 40%. FDG PET-
 CT performed by the nuclear medicine team demonstrated metabolically active disease confined to the breast
 without regional or distant metastases, supporting curative treatment. The patient underwent right mastectomy
 with sentinel lymph node biopsy. Histopathology confirmed a 3.2 cm grade 3 invasive neuroendocrine
 carcinoma with associated ductal carcinoma in situ. One sentinel lymph node contained metastatic carcinoma
 with extranodal extension and the deep margin was involved. Completion axillary dissection revealed no
 additional nodal metastases. Following multidisciplinary team discussion, the patient received platinum-
 etoposide chemotherapy, radiotherapy and endocrine therapy.
"," Discussion
 This case highlights the complementary roles of breast radiology in lesion detection and biopsy guidance,
 pathology in confirming neuroendocrine differentiation, nuclear medicine in excluding occult metastatic
 disease, and the multidisciplinary breast team in integrating these findings to formulate individualized
 treatment.","Successful management of primary neuroendocrine carcinoma of the breast relies on multidisciplinary
 collaboration for accurate diagnosis, comprehensive staging and personalized treatment of this rare breast
 malignancy."
AA-004,"BREAST CANCER OBSCURED BY COSMETIC BREAST FILLER INJECTIONS:
 DIAGNOSTIC CHALLENGES AND IMAGING PITFALLS IN TWO CASES",Case Report/Series,"Ernisha SaibÂ¹, Nazimah Ab MuminÂ¹, Marlina Tanty Ramli HamidÂ¹, Nor Faezan Abdul Rashid 2","1 Department of Radiology, Faculty of Medicine, Universiti Teknologi MARA, Sungai Buloh,
 Selangor, Malaysia.
 2 Department of Surgery, Faculty of Medicine, Universiti Teknologi MARA, Sungai Buloh,
 Selangor, Malaysia.","breast cancer, breast imaging, breast filler injection, diagnostic pitfall.",,"Cosmetic breast filler injections may produce extensive inflammatory, fibrotic and nodular
 changes that both mimic malignancy and obscure breast parenchyma, creating diagnostic
 challenges in breast cancer detection and staging.","Case Presentation
 We report two patients with previous breast filler injections who subsequently presented with
 suspicious breast findings. Case 1: Screening mammography and ultrasound demonstrated a
 suspicious left breast lesion with ipsilateral axillary lymphadenopathy against a background
 of diffuse filler-related changes. Magnetic resonance imaging (MRI) further characterized the
 abnormality, and image-guided biopsy confirmed invasive carcinoma. Case 2: A patient with
 a palpable breast abnormality underwent MRI because conventional imaging was
 inconclusive in the presence of extensive filler-related changes. MRI demonstrated a
 suspicious enhancing lesion, and biopsy revealed invasive carcinoma with associated ductal
 carcinoma in situ.
"," Discussion
 Breast filler material may conceal or simulate lesions on mammography and ultrasound and
 can hinder identification of a reliable sonographic target for biopsy. These cases demonstrate
 the value of multimodality assessment, particularly contrast-enhanced MRI, when
 conventional imaging findings are inconclusive. Where a lesion lacks a reliable sonographic
 correlate, an alternative image-guided biopsy approach may be required. Multidisciplinary
 review is important for selecting the appropriate imaging and biopsy strategy and for defining
 disease extent.","A history of cosmetic breast filler injection should be actively sought in women undergoing
 breast assessment. Early escalation to contrast-enhanced imaging and a tailored biopsy
 strategy may reduce diagnostic delay and facilitate accurate staging and management when
 mammographic or sonographic evaluation is limited."
AA-005,"BREAST BIOPSIES ARE NOT DONE LIGHTLY: A RETROSPECTIVE REVIEW
 OF 1307 BREAST BIOPSIESâ€",Scientific Research,"Ying Ying Ooi 1 , Farhana Fadzli 2 , Harjit Kaur 1 , Normayah Kitan 1 , Bang Rom Lee 3 , Char Hong
 Ng 1 , Cheng Har Yip 1 , Maninderpal Kaur 2","Department of Breast Surgery, Picaso Hospital, Petaling Jaya, Malaysia
 2 Department of Breast Imaging, Picaso Hospital, Petaling Jaya, Malaysia
 3 Department of Anatomical Pathology, Picaso Hospital, Petaling Jaya, Malaysia","Breast biopsy, BI-RADS classification, Diagnostic yield, Histopathological
 diagnosis, Positive Predictive Value 2 (PPV2)",,"This report evaluates the diagnostic yield of imaging-guided and palpation-guided breast
 biopsies in Picaso Hospital from October 2024 to June 2026. The primary aim is to evaluate
 the overall positive predictive value 2 (PPV2) of breast biopsies performed.","Methods
 A retrospective study was conducted on 1212 patients who had undergone imaging-guided or
 clinically-guided breast biopsies in Picaso Hospital from October 2024 to June 2026. 1307
 biopsies were performed. Variables like age, BI-RADS category, and histopathological
 diagnosis, were collected and used for analysis. The PPV2 overall and of each BI-RADS
 category were calculated and compared with ACR benchmarks.
"," Results
 A total of 1307 samples of diagnostic biopsies with confirmed histopathology were analysed.
 BI-RADS 4 constituted the largest proportion of biopsies taken, being 59% (n=715), followed
 by BI-RADS 5 at 32% (n=387). BI-RADS 3 lesions comprised 7.2% (n=87) of all biopsies.
 BI-RADS 1 and 2 accounted for 0.2% (n=3) and 1.6% (n=19) respectively.
 This study yielded an overall PPV2 of 48.6%, exceeding the ACR benchmark of â‰¥25%.
 40.9% (n=534) biopsies were benign; 10.6% (n=138) were borderline lesions requiring
 subsequent active management.
 PPV2 was 21.05% for BI-RADS 2, 10.34% for BI-RADS 3, 31.89% for BI-RADS 4, and
 88.89% for BI-RADS 5. Both BI-RADS 4 and 5 exceeded the ACR benchmark.","In conclusion, the breast biopsies performed in Picaso Hospital yielded a high overall
 diagnostic yield of almost 50%, suggesting appropriate integration of clinical judgement with
 imaging findings in guiding patient selection for biopsies. In some exceptions, BI-RADS 2
 lesions were biopsied due to clinical suspicion, resulting in a non-zero PPV2. Opportunities
 for further optimisation include close monitoring of borderline lesions outcomes to determine
 the upgrade rate to malignancy."
AA-006,"THE POWER TO PRESS: EVALUATING PAIN, DOSE, AND IMAGE QUALITY
 IN PATIENT-LED MAMMOGRAPHY",Scientific Research,"Raihanah Haroon 1 , Sivaneswary A/P Muniappan 1 , Siti Kamariah Che Mohamed 1 ,
 Karimah Hanim Abd. Aziz 2 , Nor Ain Rabaiee 1 , Intan Bazilah Abu Bakar","Â¹ Department of Radiology, Kulliyyah of Medicine, International Islamic University
 Malaysia
 2 Department of Community Medicine, Kulliyyah of Medicine, International Islamic
 University Malaysia","self-assisted compression, mammography, pain experience",,"Mammography is the gold standard for early breast cancer detection, but compression-
 associated pain severely hinders screening adherence. Self-assisted compression offers a
 patient-centered approach to improve this experience. This quasi-experimental study
 evaluated the effectiveness of self-assisted versus conventional mammographer-assisted
 compression regarding mammographic pain, radiation dose, and image quality at Sultan
 Ahmad Shah Medical Centre (SASMEC @IIUM).","Methods
 A total of 412 participants were enrolled (mammographer-assisted, n = 210; supervised
 self-assisted, n = 202). Pain intensity was categorized (none, mild, moderate, severe),
 radiation dose was evaluated using Mean Glandular Dose (MGD), and image quality was
 graded via standardized Perfect-Good-Moderate-Inadequate (PGMI) criteria. Data were
 analyzed using Chi-square tests, Mannâ€“Whitney U tests, multinomial logistic regression,
 and multiple linear regression to determine independent predictors of outcomes.
"," Results
 The majority of participants experienced only mild pain (71%), with no statistically
 significant difference in pain intensity between the two techniques (p = 0.308).
 Multinomial logistic regression confirmed that compression technique was not a
 significant predictor of pain. Similarly, no significant differences were observed in
 compressed breast thickness or MGD for both CC and MLO views (p < 0.05), indicating
 comparable dose optimization. While image quality showed a significant association with
 technique (p = 0.024) due to a technical advantage in the mammographer-assisted group,
  self-assisted compression consistently achieved predominantly moderate-to-good quality,
 ensuring full diagnostic adequacy. Instead of compression technique, sociodemographic
 factors independently predicted outcomes. Ethnicity and education predicted pain, while
 age, ethnicity, and education predicted breast thickness and MGD.","Self-assisted compression is a highly feasible, clinically safe, and patient-centered
 alternative to standard mammography. It yields equivalent pain outcomes and radiation
 doses while maintaining acceptable diagnostic image quality. Patient-centered
 mammographic care must account for sociodemographic variations, which influence the
 screening experience more heavily than the physical mode of compression control."
AA-007,"PERMANENT OR TEMPORARY? INSIGHTS FROM A SINGLE-INSTITUTION
 SURVEY OF SINGAPORE WOMEN'S PREFERENCE FOR BREAST BIOPSY
 MARKER TYPES",Scientific Research,"Stefanie Lee 1 , Tan Si Ying 2 , Iris Neo 3 , Lester Leong 3","1 Department of Diagnostic Radiology, Singapore General Hospital, Singaporef
 2 Department of Breast Surgery, Singapore General Hospital, Singapore
 3 Department of Diagnostic Radiology, Khoo Teck Puat Hospital, Singapore","Breast, Biopsy, Clip, Metallic, Biodegradable",,"Metallic clips are commonly deployed after breast biopsies for lesional localization. Because
 they are retained indefinitely, some women experience foreign-body anxiety, occasionally
 leading to procedure refusal. We evaluated womenâ€™s attitudes toward permanent metallic clips
 and the acceptability of hypothetical biodegradable alternatives.","Methods:
 Following IRB approval, a prospective survey at a single Singapore institution recruited women
 aged >21 years across three cohorts: (1) patients undergoing breast needle biopsy requiring clips,
 (2) women with previous clip insertion, and (3) female breast care physicians (surgeons,
 radiologists, pathologists). Participants were surveyed on demographics, clip preferences
 (permanent metallic vs. biodegradable), and underlying reasons.
"," Results:
 Between 2015 and 2024, 162 women were surveyed: 71 undergoing biopsy (43.8%), 73 with
 prior clip placement (45.1%), and 18 doctors (11.1%). Overall, 56.2% (91/162) preferred
 biodegradable clips, 21.6% (35/162) preferred permanent metallic clips, and 21.6% (35/162) had
 no preference. Strikingly, 27.8% of the female doctors preferred a biodegradable clip despite
 their medical background, although women in the combined breast biopsy group were still
 significantly more likely to prefer biodegradable clips (59.7%) than doctors (p=0.012). Women
 undergoing biopsy were also more likely than those with existing clips to prefer biodegradable
 clips (73.2% vs. 46.6%, p=0.001). Key motivators included psychological unease with having a
 permanent foreign body in the breast (84.6%), followed by concerns about the potential long-
 term effects of metallic clips (12.1%). Additionally, 76% of neutral respondents were still open
 to biodegradable clips.","Women's concerns regarding permanent metallic clips deserve greater recognition rather than
 assuming they are universally tolerated. Our findings identify a potential unmet need for
 biodegradable biopsy markers - greater investment into developing safe biodegradable
 alternatives to improve patient acceptance and enhance the overall breast biopsy experience is
 needed."
AA-008,"RECURRENT HEMORRHAGIC GIANT CYSTIC INVASIVE BREAST
 CARCINOMA SUCCESSFULLY MANAGED WITH PREOPERATIVE
 TRANSARTERIAL EMBOLIZATION: A RARE CASE REPORT",Case Report/Series,"1 Harun Fathinah, 1 Basir Ani Anisa","Department of Radiology, Hospital Canselor Tuanku Muhriz, Jalan Yaacob Latif, Bandar
 Tun Razak Kuala Lumpur, Malaysia","Invasive breast carcinoma, no special type, Haemorrhagic complex cystic breast
 lesion, Transarterial embolization",,"Invasive breast carcinoma of no special type (IBC-NST) typically presents as a solid breast
 mass. Presentation as a giant haemorrhagic cystic lesion is extremely uncommon and may
 mimic a benign complex breast cyst. Although transarterial embolization has been described
 for haemorrhage from ulcerating or locally advanced breast cancers, its application for
 recurrent intralesional bleeding within a cystic invasive carcinoma has rarely been reported.","Case Presentation
 A 71-year-old postmenopausal woman presented with a progressively enlarging painless right
 breast mass of one year&#39;s duration. Ultrasonography demonstrated a large mixed solid-cystic
 breast lesion with a vascular mural solid component. Ultrasound-guided aspiration yielded
 1,650 mL of dark hemorrhagic fluid, followed by core biopsy of the solid component, which
 confirmed grade 3 invasive breast carcinoma of no special type. Despite repeated aspiration,
 rapid reaccumulation of hemorrhagic fluid suggested ongoing bleeding from the vascular
 tumour component. Transarterial embolization of multiple tumour-feeding arteries was
 performed, achieving near stasis. The patient subsequently received neoadjuvant
 chemotherapy followed by right mastectomy with axillary dissection. Adjuvant radiotherapy
 was completed, with planned capecitabine therapy.
"," Discussion
 Haemorrhagic cystic presentation of invasive breast carcinoma is exceedingly rare. Bloody or
 dark hemoserous aspirate from a breast cyst, particularly in the presence of a vascular mural
 nodule, should prompt suspicion for malignancy and immediate tissue diagnosis. This case
 highlights the rare presentation of invasive breast carcinoma and demonstrates that
 transarterial embolization may provide effective control of recurrent tumour-related
 intralesional bleeding, facilitating subsequent oncological treatment and definitive surgery.","This case illustrates a rare presentation of invasive breast carcinoma as a giant haemorrhagic
 cystic breast lesion with recurrent intralesional bleeding. Persistent haemorrhagic
 reaccumulation after aspiration should raise concern for malignancy. Preoperative
 transarterial embolization may represent a valuable adjunctive treatment for controlling
 tumour-related bleeding, allowing safe administration of neoadjuvant therapy and subsequent
 definitive surgical management."
AA-009,"WHEN SOFT DOES NOT MEAN BENIGN: LIMITATIONS OF ULTRASOUND
 ELASTOGRAPHY IN MUCINOUS BREAST CARCINOMA - A COHORT
 STUDY WITH RADIOLOGICâ€“PATHOLOGIC CORRELATION",Scientific Research,"Benjamin Livingston Farah 1 (presenting author), Leong Chee Hao Lester 2 , Sushmita
 Chandran 2 , Tan Si Ying","1. Department of Anatomical Pathology, Singapore General Hospital, Singapore
 2. Department of Diagnostic Radiology, Khoo Teck Puat Hospital, Singapore
 3. Department of Breast Surgery, Singapore General Hospital, Singapore
 4. Department of Breast Surgery, National Cancer Centre Singapore, Singapore
 5. SingHealth Duke-NUS Breast Centre, Singapore","Elastography, Mucinous Breast Carcinoma, Absent Desmoplasia",,"Breast strain elastography improves differentiation of benign and malignant breast
 masses by assessing tissue stiffness, as most invasive carcinomas are stiff and induce a
 surrounding desmoplastic reaction, resulting in an enlarged elastographic size ratio
 (ESR). Mucinous breast carcinoma (MBC), however, is characterised by abundant
 extracellular mucin and minimal desmoplastic response, potentially producing a soft and
 benign elastographic appearance. This study evaluated the diagnostic performance of
 strain elastography in MBC and investigated histopathological factors associated with
 false-negative elastographic findings.","Methods
 In this retrospective study, histologically confirmed MBCs diagnosed between 2000 and
 2020 were identified from a multi-institutional joint breast cancer registry. Ninety cases
 with preoperative ultrasound strain elastography were analysed. Quantitative ESR was
 assessed using a threshold of >;1.1 as suspicious, while qualitative strain patterns were
 classified as hard or soft/intermediate. Imaging findings were correlated with
 histopathological subtype (pure versus mixed mucinous carcinoma) and the presence of a
 desmoplastic reaction.
"," Results
 Using an ESR threshold of >;1.1, only 60.0% (54/90) of MBCs were classified as
 suspicious, whereas 40.0% (36/90) demonstrated benign ESRs, indicating reduced
 sensitivity of strain elastography in this tumour subtype. Mixed mucinous carcinomas
 were significantly more likely than pure mucinous carcinomas to demonstrate suspicious
 ESRs (90.0% vs 56.3%, p=0.046), corresponding to a greater propensity for desmoplastic
 reaction on histopathology. Qualitative strain assessment showed stiff internal strain
 patterns in 74.4% (67/90) of lesions, with no significant difference between mixed and
 pure mucinous carcinomas (60.0% vs 76.3%, p=0.270).","MBC is an important cause of false-negative strain elastography, particularly the pure
 subtype, owing to its lack of desmoplastic reaction and absence of an enlarged
 elastographic size ratio. Recognition of this diagnostic pitfall and correlation with
 conventional ultrasound findings are essential to avoid misdiagnosis."
AA-010,RADIO SILENCE: A CASE-BASED DISCUSSION ON TROUBLESHOOTING SAVI SCOUTÂ® NON-DETECTION OF INTRAOPERATIVE REFLECTOR SIGNAL,Case Report/Series,"Tan NingÂ¹ (Presenter), Clement Chia Luck KhngÂ², Chuang Xue En2, Zoe Lim Soon Yee2, Lily Lai Mei San1, Lester Leong Chee Hao1","Department of Diagnostic Radiology, Khoo Teck Puat Hospital, Singapore
 2 Department of General Surgery, Khoo Teck Puat Hospital, Singapore","Savi Scout, Signal Non-Detection, Wire-Free Localisation",,"The SAVI SCOUT® radar localisation system is an increasingly adopted wire-free technology for preoperative localisation of breast lesions. Although highly reliable, rare instances of failure to detect signal from the reflector can occur, which can potentially lead to surgical failure. Because such cases are seldom reported, practical troubleshooting guidance remains limited.
 We present a challenging case of intraoperative failure to detect SAVI SCOUT® signal and suggest potential troubleshooting solutions.","Case Presentation
 A 54-year-old woman with newly diagnosed breast cancer underwent ultrasound-guided placement of a SAVI SCOUT® reflector one week before surgery to localise a 5mm malignant satellite mass at the posterior 10 o'clock position of the right breast, located 2.5 cm deep to the skin. Although an intermittent reflector signal was detected immediately after deployment, no signal could be identified intraoperatively. 
 After several unsuccessful attempts to detect the reflector, intraoperative ultrasound was eventually able to identify its location, albeit with some difficulty. After the initial breast incision and elevation of the skin flap, the SAVI SCOUTÂ® probe successfully detected the reflector signal, allowing successful excision of both the lesion and reflector.
 
"," Discussion
 We discuss various possible solutions to troubleshooting intraoperative signal failure, including optimisation of SAVI SCOUT® probe orientation, repositioning or flattening of the breast, use of intraoperative ultrasound and utility of fluoroscopy.",This case illustrates the rare but important problem of intraoperative failure to detect the SAVI SCOUT® reflector signal and raises awareness of possible practical solutions and adjunct localisation techniques to facilitate successful lesion excision.
